IGN,Real Name,Stats
RieNs,Enes Ecirli,"['Sova', '(15) 60%', '333', '1.17', '217.4', '1.20', '152.3', '74%', '0.77', '0.28', '0.08', '0.09', '257', '214', '92', '27', '30']","['Viper', '(6) 24%', '129', '1.20', '216.2', '1.20', '144.0', '78%', '0.75', '0.35', '0.09', '0.11', '97', '81', '45', '12', '14']","['Gekko', '(4) 16%', '90', '1.02', '199.3', '1.02', '119.7', '71%', '0.72', '0.23', '0.10', '0.07', '65', '64', '21', '9', '6']"
MiniBoo,Dominykas Lukasevicius,"['Raze', '(13) 43%', '278', '1.06', '219.0', '1.07', '143.1', '72%', '0.76', '0.18', '0.15', '0.15', '212', '199', '50', '42', '42']","['Neon', '(9) 30%', '210', '1.13', '240.7', '1.18', '153.2', '72%', '0.86', '0.20', '0.20', '0.15', '181', '154', '43', '42', '32']","['Jett', '(7) 23%', '158', '0.71', '162.7', '0.75', '108.2', '60%', '0.58', '0.11', '0.13', '0.20', '91', '121', '17', '20', '32']"
Wo0t,Mert Alkan,"['Gekko', '(11) 44%', '251', '0.96', '184.8', '0.94', '124.0', '73%', '0.65', '0.27', '0.07', '0.08', '164', '174', '69', '18', '21']","['Omen', '(7) 28%', '150', '1.05', '198.3', '1.07', '123.9', '76%', '0.71', '0.42', '0.07', '0.11', '106', '99', '63', '11', '17']","['Kayo', '(3) 12%', '63', '1.03', '198.3', '0.95', '128.6', '78%', '0.65', '0.62', '0.06', '0.08', '41', '43', '39', '4', '5']"
benjyfishy,Benjamin David Fish,"['Cypher', '(16) 48%', '328', '0.90', '193.3', '0.94', '126.9', '71%', '0.69', '0.21', '0.08', '0.15', '226', '240', '68', '25', '48']","['Killjoy', '(13) 39%', '284', '1.02', '185.3', '1.11', '125.3', '68%', '0.71', '0.08', '0.09', '0.09', '203', '183', '24', '26', '25']","['Viper', '(4) 12%', '92', '1.24', '251.8', '1.32', '171.7', '73%', '0.89', '0.35', '0.11', '0.09', '82', '62', '32', '10', '8']"
cNed,Mehmet Yagiz Ipek,"['Raze', '(3) 75%', '66', '1.04', '232.0', '1.04', '158.3', '67%', '0.82', '0.12', '0.14', '0.09', '54', '52', '8', '9', '6']","['Jett', '(1) 25%', '22', '0.85', '193.0', '0.82', '130.6', '68%', '0.64', '0.14', '0.32', '0.27', '14', '17', '3', '7', '6']"
qRaxs,Dogukan Balaban,"['Fade', '(2) 50%', '42', '0.85', '124.0', '0.69', '77.8', '67%', '0.43', '0.31', '0.07', '0.05', '18', '26', '13', '3', '2']","['Gekko', '(1) 25%', '24', '0.93', '185.0', '1.00', '119.2', '75%', '0.71', '0.25', '0.04', '0.13', '17', '17', '6', '1', '3']","['Breach', '(1) 25%', '22', '1.13', '189.0', '1.07', '129.0', '73%', '0.68', '0.32', '0.00', '0.05', '15', '14', '7', '0', '1']"
AtaKaptan,Ata Tan,"['Brimstone', '(2) 50%', '42', '0.58', '137.5', '0.59', '91.9', '55%', '0.45', '0.29', '0.05', '0.17', '19', '32', '12', '2', '7']","['Omen', '(1) 25%', '24', '1.04', '181.0', '1.07', '119.9', '71%', '0.63', '0.42', '0.08', '0.08', '15', '14', '10', '2', '2']","['Viper', '(1) 25%', '22', '0.97', '187.0', '0.76', '118.9', '73%', '0.59', '0.36', '0.00', '0.00', '13', '17', '8', '0', '0']"
MrFaliN,Furkan Yegen,"['Gekko', '(2) 50%', '42', '0.71', '152.0', '0.67', '106.5', '67%', '0.48', '0.33', '0.05', '0.14', '20', '30', '14', '2', '6']","['Breach', '(1) 25%', '24', '0.72', '171.0', '0.72', '116.0', '71%', '0.54', '0.38', '0.08', '0.00', '13', '18', '9', '2', '0']","['Omen', '(1) 25%', '22', '0.98', '216.0', '0.94', '123.4', '77%', '0.73', '0.36', '0.05', '0.09', '16', '17', '8', '1', '2']"
yetujey,Eray Budak,"['Cypher', '(2) 50%', '46', '1.13', '233.0', '1.19', '149.7', '72%', '0.83', '0.17', '0.22', '0.09', '38', '32', '8', '10', '4']","['Viper', '(2) 50%', '42', '1.00', '230.5', '1.10', '139.9', '67%', '0.81', '0.19', '0.17', '0.07', '34', '31', '8', '7', '3']"
Lakia,Kim Jong-min,"['Skye', '(4) 36%', '97', '0.84', '165.3', '0.85', '108.6', '73%', '0.59', '0.29', '0.10', '0.09', '57', '67', '28', '10', '9']","['Fade', '(3) 27%', '72', '0.79', '134.3', '0.71', '87.2', '82%', '0.47', '0.51', '0.03', '0.06', '34', '48', '37', '2', '4']","['Sova', '(2) 18%', '44', '0.59', '112.0', '0.53', '71.2', '61%', '0.36', '0.18', '0.07', '0.09', '16', '30', '8', '3', '4']"
